text,clean text,Tweet_tokenized,Tweet_without_stop,Tweet_stemmed,Tweet_lemmatized
"⭐️Stalker Craig⭐️
  No More Secrets

Available at: https://t.co/BduXurHmAc &amp; https://t.co/up1knM9O9t

#book… https://t.co/lNcMex5DP0","⭐️Stalker Craig⭐️
  No More Secrets

Available at httpstcoBduXurHmAc amp httpstcoupknMOt

book… httpstcolNcMexDP","['', 'stalker', 'craig', 'no', 'more', 'secrets', 'available', 'at', 'httpstcobduxurhmac', 'amp', 'httpstcoupknmot', 'book', 'httpstcolncmexdp']","['', 'stalker', 'craig', 'secrets', 'available', 'httpstcobduxurhmac', 'amp', 'httpstcoupknmot', 'book', 'httpstcolncmexdp']","['', 'stalker', 'craig', 'secret', 'avail', 'httpstcobduxurhmac', 'amp', 'httpstcoupknmot', 'book', 'httpstcolncmexdp']","['', 'stalker', 'craig', 'secret', 'available', 'httpstcobduxurhmac', 'amp', 'httpstcoupknmot', 'book', 'httpstcolncmexdp']"
Fairfax elementary school principal charged with DWI - https://t.co/Ce8SVLGIrt &lt;&lt;&lt; #crime #criminal #police #law… https://t.co/LixdlxHdK8,Fairfax elementary school principal charged with DWI  httpstcoCeSVLGIrt ltltlt crime criminal police law… httpstcoLixdlxHdK,"['fairfax', 'elementary', 'school', 'principal', 'charged', 'with', 'dwi', 'httpstcocesvlgirt', 'ltltlt', 'crime', 'criminal', 'police', 'law', 'httpstcolixdlxhdk']","['fairfax', 'elementary', 'school', 'principal', 'charged', 'dwi', 'httpstcocesvlgirt', 'ltltlt', 'crime', 'criminal', 'police', 'law', 'httpstcolixdlxhdk']","['fairfax', 'elementari', 'school', 'princip', 'charg', 'dwi', 'httpstcocesvlgirt', 'ltltlt', 'crime', 'crimin', 'polic', 'law', 'httpstcolixdlxhdk']","['fairfax', 'elementary', 'school', 'principal', 'charged', 'dwi', 'httpstcocesvlgirt', 'ltltlt', 'crime', 'criminal', 'police', 'law', 'httpstcolixdlxhdk']"
https://t.co/WTlutpMLuj. Now halfway thru our video nasty month. For ep 2 we go deep into this Psycho-inspired shoc… https://t.co/x3UWh89PgW,httpstcoWTlutpMLuj Now halfway thru our video nasty month For ep  we go deep into this Psychoinspired shoc… httpstcoxUWhPgW,"['httpstcowtlutpmluj', 'now', 'halfway', 'thru', 'our', 'video', 'nasty', 'month', 'for', 'ep', 'we', 'go', 'deep', 'into', 'this', 'psychoinspired', 'shoc', 'httpstcoxuwhpgw']","['httpstcowtlutpmluj', 'halfway', 'thru', 'video', 'nasty', 'month', 'ep', 'go', 'deep', 'psychoinspired', 'shoc', 'httpstcoxuwhpgw']","['httpstcowtlutpmluj', 'halfway', 'thru', 'video', 'nasti', 'month', 'ep', 'go', 'deep', 'psychoinspir', 'shoc', 'httpstcoxuwhpgw']","['httpstcowtlutpmluj', 'halfway', 'thru', 'video', 'nasty', 'month', 'ep', 'go', 'deep', 'psychoinspired', 'shoc', 'httpstcoxuwhpgw']"
"https://t.co/OzckR639WV
A group of young people in #NYC harass and attack at food stall and his worker. In America… https://t.co/6OYLhzVrPv","httpstcoOzckRWV
A group of young people in NYC harass and attack at food stall and his worker In America… httpstcoOYLhzVrPv","['httpstcoozckrwv', 'a', 'group', 'of', 'young', 'people', 'in', 'nyc', 'harass', 'and', 'attack', 'at', 'food', 'stall', 'and', 'his', 'worker', 'in', 'america', 'httpstcooylhzvrpv']","['httpstcoozckrwv', 'group', 'young', 'people', 'nyc', 'harass', 'attack', 'food', 'stall', 'worker', 'america', 'httpstcooylhzvrpv']","['httpstcoozckrwv', 'group', 'young', 'peopl', 'nyc', 'harass', 'attack', 'food', 'stall', 'worker', 'america', 'httpstcooylhzvrpv']","['httpstcoozckrwv', 'group', 'young', 'people', 'nyc', 'harass', 'attack', 'food', 'stall', 'worker', 'america', 'httpstcooylhzvrpv']"
"BREAKING: #BNNUS Reports.

A 16-year-old from Passaic died early Sunday following a stabbing in the west side of th… https://t.co/1GRXDd2D07","BREAKING BNNUS Reports

A yearold from Passaic died early Sunday following a stabbing in the west side of th… httpstcoGRXDdD","['breaking', 'bnnus', 'reports', 'a', 'yearold', 'from', 'passaic', 'died', 'early', 'sunday', 'following', 'a', 'stabbing', 'in', 'the', 'west', 'side', 'of', 'th', 'httpstcogrxddd']","['breaking', 'bnnus', 'reports', 'yearold', 'passaic', 'died', 'early', 'sunday', 'following', 'stabbing', 'west', 'side', 'th', 'httpstcogrxddd']","['break', 'bnnu', 'report', 'yearold', 'passaic', 'die', 'earli', 'sunday', 'follow', 'stab', 'west', 'side', 'th', 'httpstcogrxddd']","['breaking', 'bnnus', 'report', 'yearold', 'passaic', 'died', 'early', 'sunday', 'following', 'stabbing', 'west', 'side', 'th', 'httpstcogrxddd']"
"BREAKING: #BNNUSA Reports.

7 people were shot and one person was killed at a Tampa bar early Sunday after an argum… https://t.co/u9VuQ7Wzo9","BREAKING BNNUSA Reports

 people were shot and one person was killed at a Tampa bar early Sunday after an argum… httpstcouVuQWzo","['breaking', 'bnnusa', 'reports', 'people', 'were', 'shot', 'and', 'one', 'person', 'was', 'killed', 'at', 'a', 'tampa', 'bar', 'early', 'sunday', 'after', 'an', 'argum', 'httpstcouvuqwzo']","['breaking', 'bnnusa', 'reports', 'people', 'shot', 'one', 'person', 'killed', 'tampa', 'bar', 'early', 'sunday', 'argum', 'httpstcouvuqwzo']","['break', 'bnnusa', 'report', 'peopl', 'shot', 'one', 'person', 'kill', 'tampa', 'bar', 'earli', 'sunday', 'argum', 'httpstcouvuqwzo']","['breaking', 'bnnusa', 'report', 'people', 'shot', 'one', 'person', 'killed', 'tampa', 'bar', 'early', 'sunday', 'argum', 'httpstcouvuqwzo']"
@JohnFetterman You have not made our community safer. You give preference to criminals. We see your record and watc… https://t.co/LyGI7kJz00,JohnFetterman You have not made our community safer You give preference to criminals We see your record and watc… httpstcoLyGIkJz,"['johnfetterman', 'you', 'have', 'not', 'made', 'our', 'community', 'safer', 'you', 'give', 'preference', 'to', 'criminals', 'we', 'see', 'your', 'record', 'and', 'watc', 'httpstcolygikjz']","['johnfetterman', 'made', 'community', 'safer', 'give', 'preference', 'criminals', 'see', 'record', 'watc', 'httpstcolygikjz']","['johnfetterman', 'made', 'commun', 'safer', 'give', 'prefer', 'crimin', 'see', 'record', 'watc', 'httpstcolygikjz']","['johnfetterman', 'made', 'community', 'safer', 'give', 'preference', 'criminal', 'see', 'record', 'watc', 'httpstcolygikjz']"
#BEWARE | Stay Safe - Richard Gillmore Serial ‘jogger rapist’ to be released from #Oregon prison this Dec. Was arre… https://t.co/6cNtImIarV,BEWARE  Stay Safe  Richard Gillmore Serial ‘jogger rapist’ to be released from Oregon prison this Dec Was arre… httpstcocNtImIarV,"['beware', 'stay', 'safe', 'richard', 'gillmore', 'serial', 'jogger', 'rapist', 'to', 'be', 'released', 'from', 'oregon', 'prison', 'this', 'dec', 'was', 'arre', 'httpstcocntimiarv']","['beware', 'stay', 'safe', 'richard', 'gillmore', 'serial', 'jogger', 'rapist', 'released', 'oregon', 'prison', 'dec', 'arre', 'httpstcocntimiarv']","['bewar', 'stay', 'safe', 'richard', 'gillmor', 'serial', 'jogger', 'rapist', 'releas', 'oregon', 'prison', 'dec', 'arr', 'httpstcocntimiarv']","['beware', 'stay', 'safe', 'richard', 'gillmore', 'serial', 'jogger', 'rapist', 'released', 'oregon', 'prison', 'dec', 'arre', 'httpstcocntimiarv']"
"Person Found Dead In Val Verde, Cause Of Death Unknown - https://t.co/61bVtqOUg7 &lt;&lt;&lt; #crime #criminal #police #law… https://t.co/lDr1nec6NA",Person Found Dead In Val Verde Cause Of Death Unknown  httpstcobVtqOUg ltltlt crime criminal police law… httpstcolDrnecNA,"['person', 'found', 'dead', 'in', 'val', 'verde', 'cause', 'of', 'death', 'unknown', 'httpstcobvtqoug', 'ltltlt', 'crime', 'criminal', 'police', 'law', 'httpstcoldrnecna']","['person', 'found', 'dead', 'val', 'verde', 'cause', 'death', 'unknown', 'httpstcobvtqoug', 'ltltlt', 'crime', 'criminal', 'police', 'law', 'httpstcoldrnecna']","['person', 'found', 'dead', 'val', 'verd', 'caus', 'death', 'unknown', 'httpstcobvtqoug', 'ltltlt', 'crime', 'crimin', 'polic', 'law', 'httpstcoldrnecna']","['person', 'found', 'dead', 'val', 'verde', 'cause', 'death', 'unknown', 'httpstcobvtqoug', 'ltltlt', 'crime', 'criminal', 'police', 'law', 'httpstcoldrnecna']"
#GunViolence &amp; #Crime #Rising🔥 but #GOP #Republicans want to make it More #Easy for Everyone😱To Get Even More #Guns… https://t.co/vHa2hb3J2x,GunViolence amp Crime Rising🔥 but GOP Republicans want to make it More Easy for Everyone😱To Get Even More Guns… httpstcovHahbJx,"['gunviolence', 'amp', 'crime', 'rising', 'but', 'gop', 'republicans', 'want', 'to', 'make', 'it', 'more', 'easy', 'for', 'everyone', 'to', 'get', 'even', 'more', 'guns', 'httpstcovhahbjx']","['gunviolence', 'amp', 'crime', 'rising', 'gop', 'republicans', 'want', 'make', 'easy', 'everyone', 'get', 'even', 'guns', 'httpstcovhahbjx']","['gunviol', 'amp', 'crime', 'rise', 'gop', 'republican', 'want', 'make', 'easi', 'everyon', 'get', 'even', 'gun', 'httpstcovhahbjx']","['gunviolence', 'amp', 'crime', 'rising', 'gop', 'republican', 'want', 'make', 'easy', 'everyone', 'get', 'even', 'gun', 'httpstcovhahbjx']"
"World News Roundup: 09 October 2022
.
Article: https://t.co/Cquc6itsRY
.
Live News: https://t.co/WpRkCcj1B7
.
.
.
.… https://t.co/hUAPtxwKYW","World News Roundup  October 

Article httpstcoCqucitsRY

Live News httpstcoWpRkCcjB



… httpstcohUAPtxwKYW","['world', 'news', 'roundup', 'october', 'article', 'httpstcocqucitsry', 'live', 'news', 'httpstcowprkccjb', 'httpstcohuaptxwkyw']","['world', 'news', 'roundup', 'october', 'article', 'httpstcocqucitsry', 'live', 'news', 'httpstcowprkccjb', 'httpstcohuaptxwkyw']","['world', 'news', 'roundup', 'octob', 'articl', 'httpstcocqucitsri', 'live', 'news', 'httpstcowprkccjb', 'httpstcohuaptxwkyw']","['world', 'news', 'roundup', 'october', 'article', 'httpstcocqucitsry', 'live', 'news', 'httpstcowprkccjb', 'httpstcohuaptxwkyw']"
@Deeboarder @Harley_Ride @mkbl1965 #usa #onz #world #europe @rianru @Reuters @AFP #crime #crimewar #war #3ww… https://t.co/SXrlyVnq6n,Deeboarder HarleyRide mkbl usa onz world europe rianru Reuters AFP crime crimewar war ww… httpstcoSXrlyVnqn,"['deeboarder', 'harleyride', 'mkbl', 'usa', 'onz', 'world', 'europe', 'rianru', 'reuters', 'afp', 'crime', 'crimewar', 'war', 'ww', 'httpstcosxrlyvnqn']","['deeboarder', 'harleyride', 'mkbl', 'usa', 'onz', 'world', 'europe', 'rianru', 'reuters', 'afp', 'crime', 'crimewar', 'war', 'ww', 'httpstcosxrlyvnqn']","['deeboard', 'harleyrid', 'mkbl', 'usa', 'onz', 'world', 'europ', 'rianru', 'reuter', 'afp', 'crime', 'crimewar', 'war', 'ww', 'httpstcosxrlyvnqn']","['deeboarder', 'harleyride', 'mkbl', 'usa', 'onz', 'world', 'europe', 'rianru', 'reuters', 'afp', 'crime', 'crimewar', 'war', 'ww', 'httpstcosxrlyvnqn']"
"A fight turned into a deadly hit-and-run in Golden, #Colorado, the Jefferson Country Sheriff's office said in a twe… https://t.co/YQ0w19qMHI",A fight turned into a deadly hitandrun in Golden Colorado the Jefferson Country Sheriffs office said in a twe… httpstcoYQwqMHI,"['a', 'fight', 'turned', 'into', 'a', 'deadly', 'hitandrun', 'in', 'golden', 'colorado', 'the', 'jefferson', 'country', 'sheriffs', 'office', 'said', 'in', 'a', 'twe', 'httpstcoyqwqmhi']","['fight', 'turned', 'deadly', 'hitandrun', 'golden', 'colorado', 'jefferson', 'country', 'sheriffs', 'office', 'said', 'twe', 'httpstcoyqwqmhi']","['fight', 'turn', 'deadli', 'hitandrun', 'golden', 'colorado', 'jefferson', 'countri', 'sheriff', 'offic', 'said', 'twe', 'httpstcoyqwqmhi']","['fight', 'turned', 'deadly', 'hitandrun', 'golden', 'colorado', 'jefferson', 'country', 'sheriff', 'office', 'said', 'twe', 'httpstcoyqwqmhi']"
"@Global_Occupant @concetta8631 @NYCMayor 🛑 Seriously, all #ericadams does is talk, talk, &amp; dress like #SteveHarvey… https://t.co/ryLIJokLkM",GlobalOccupant concetta NYCMayor 🛑 Seriously all ericadams does is talk talk amp dress like SteveHarvey… httpstcoryLIJokLkM,"['globaloccupant', 'concetta', 'nycmayor', 'seriously', 'all', 'ericadams', 'does', 'is', 'talk', 'talk', 'amp', 'dress', 'like', 'steveharvey', 'httpstcorylijoklkm']","['globaloccupant', 'concetta', 'nycmayor', 'seriously', 'ericadams', 'talk', 'talk', 'amp', 'dress', 'like', 'steveharvey', 'httpstcorylijoklkm']","['globaloccup', 'concetta', 'nycmayor', 'serious', 'ericadam', 'talk', 'talk', 'amp', 'dress', 'like', 'steveharvey', 'httpstcorylijoklkm']","['globaloccupant', 'concetta', 'nycmayor', 'seriously', 'ericadams', 'talk', 'talk', 'amp', 'dress', 'like', 'steveharvey', 'httpstcorylijoklkm']"
"St. Paul police arrest man allegedly connected to drive-by shooting, find ghost gun - https://t.co/wmUdC8a5tA &lt;&lt;&lt;… https://t.co/KIqylRIW3A",St Paul police arrest man allegedly connected to driveby shooting find ghost gun  httpstcowmUdCatA ltltlt… httpstcoKIqylRIWA,"['st', 'paul', 'police', 'arrest', 'man', 'allegedly', 'connected', 'to', 'driveby', 'shooting', 'find', 'ghost', 'gun', 'httpstcowmudcata', 'ltltlt', 'httpstcokiqylriwa']","['st', 'paul', 'police', 'arrest', 'man', 'allegedly', 'connected', 'driveby', 'shooting', 'find', 'ghost', 'gun', 'httpstcowmudcata', 'ltltlt', 'httpstcokiqylriwa']","['st', 'paul', 'polic', 'arrest', 'man', 'allegedli', 'connect', 'drivebi', 'shoot', 'find', 'ghost', 'gun', 'httpstcowmudcata', 'ltltlt', 'httpstcokiqylriwa']","['st', 'paul', 'police', 'arrest', 'man', 'allegedly', 'connected', 'driveby', 'shooting', 'find', 'ghost', 'gun', 'httpstcowmudcata', 'ltltlt', 'httpstcokiqylriwa']"
"How to setup your web browser to secure your internet connection... 🌐 🔐

🖱️ https://t.co/u9QGNH4QDp… https://t.co/Ev5LWSzyZV","How to setup your web browser to secure your internet connection 🌐 🔐

🖱️ httpstcouQGNHQDp… httpstcoEvLWSzyZV","['how', 'to', 'setup', 'your', 'web', 'browser', 'to', 'secure', 'your', 'internet', 'connection', 'httpstcouqgnhqdp', 'httpstcoevlwszyzv']","['setup', 'web', 'browser', 'secure', 'internet', 'connection', 'httpstcouqgnhqdp', 'httpstcoevlwszyzv']","['setup', 'web', 'browser', 'secur', 'internet', 'connect', 'httpstcouqgnhqdp', 'httpstcoevlwszyzv']","['setup', 'web', 'browser', 'secure', 'internet', 'connection', 'httpstcouqgnhqdp', 'httpstcoevlwszyzv']"
"@Gilamanda21 @AthenWalton If I saw #KamalaHarris, I’m NOT asking for a 📸, I’m asking 1️⃣ Why has 20 million #Black… https://t.co/gcp7Kxj9hG",Gilamanda AthenWalton If I saw KamalaHarris I’m NOT asking for a 📸 I’m asking ️⃣ Why has  million Black… httpstcogcpKxjhG,"['gilamanda', 'athenwalton', 'if', 'i', 'saw', 'kamalaharris', 'i', 'm', 'not', 'asking', 'for', 'a', 'i', 'm', 'asking', 'why', 'has', 'million', 'black', 'httpstcogcpkxjhg']","['gilamanda', 'athenwalton', 'saw', 'kamalaharris', 'asking', 'asking', 'million', 'black', 'httpstcogcpkxjhg']","['gilamanda', 'athenwalton', 'saw', 'kamalaharri', 'ask', 'ask', 'million', 'black', 'httpstcogcpkxjhg']","['gilamanda', 'athenwalton', 'saw', 'kamalaharris', 'asking', 'asking', 'million', 'black', 'httpstcogcpkxjhg']"
@JeffMerkley @TinaKotek You are desperate. It’s over. Drazan wins for change. Oregon deserves better than 4 more ye… https://t.co/INmzxunYsS,JeffMerkley TinaKotek You are desperate It’s over Drazan wins for change Oregon deserves better than  more ye… httpstcoINmzxunYsS,"['jeffmerkley', 'tinakotek', 'you', 'are', 'desperate', 'it', 's', 'over', 'drazan', 'wins', 'for', 'change', 'oregon', 'deserves', 'better', 'than', 'more', 'ye', 'httpstcoinmzxunyss']","['jeffmerkley', 'tinakotek', 'desperate', 'drazan', 'wins', 'change', 'oregon', 'deserves', 'better', 'ye', 'httpstcoinmzxunyss']","['jeffmerkley', 'tinakotek', 'desper', 'drazan', 'win', 'chang', 'oregon', 'deserv', 'better', 'ye', 'httpstcoinmzxunyss']","['jeffmerkley', 'tinakotek', 'desperate', 'drazan', 'win', 'change', 'oregon', 'deserves', 'better', 'ye', 'httpstcoinmzxunyss']"
THUNDER BAY POLICE MAKE ARREST IN GUN POINT RAPE – Lake Superior News - https://t.co/H1ntcy7LNp &lt;&lt;&lt; #crime… https://t.co/d51z9kucZf,THUNDER BAY POLICE MAKE ARREST IN GUN POINT RAPE – Lake Superior News  httpstcoHntcyLNp ltltlt crime… httpstcodzkucZf,"['thunder', 'bay', 'police', 'make', 'arrest', 'in', 'gun', 'point', 'rape', 'lake', 'superior', 'news', 'httpstcohntcylnp', 'ltltlt', 'crime', 'httpstcodzkuczf']","['thunder', 'bay', 'police', 'make', 'arrest', 'gun', 'point', 'rape', 'lake', 'superior', 'news', 'httpstcohntcylnp', 'ltltlt', 'crime', 'httpstcodzkuczf']","['thunder', 'bay', 'polic', 'make', 'arrest', 'gun', 'point', 'rape', 'lake', 'superior', 'news', 'httpstcohntcylnp', 'ltltlt', 'crime', 'httpstcodzkuczf']","['thunder', 'bay', 'police', 'make', 'arrest', 'gun', 'point', 'rape', 'lake', 'superior', 'news', 'httpstcohntcylnp', 'ltltlt', 'crime', 'httpstcodzkuczf']"
