user_name,user_location,user_description,user_verified,date,text,hashtags,source
digit,in the blockchain,in crypto nos confídimus | #Vegan | #Bitcoiner | #Antiwar | $BTC $LTC $XMR | #BTC:1DigitwteXwFcRAaWpVDRp6eKqzC6y9tgm | CoinOS:digit | CoinKit:digit,False,2022-09-14 02:33:49+00:00,"#CraigWright Won’t Give Cryptographic Proof He’s #Satoshi, His Lawyers Say at #Hodlonaut Trial || #CraigWrightIsAFraud #crime #faketoshi #Bitcoin #BTC #BSV #Cryptocurrency -  https://t.co/jMEvTqWcnI","['CraigWright', 'Satoshi', 'Hodlonaut']",Twitter Web App
Self-Publishers' Showcase,Reclining with a great read.,"A home for great #IndieReads. Also @SelfPubShowcase and @SelfPubShow2

Get your book in readers' hands for as little as $4.99 per month!",False,2022-09-14 02:30:14+00:00,"Accepting an offer to install technology in his spine, Arthur is now able to infiltrate the minds of anyone infected with microscopic machines known as nanites. https://t.co/VpCYtWBogS @boldycraig #thriller #crime #scifi #action",,Hootsuite Inc.
MI5TER AND3RS0N,The world 🌍,"----she-rah----
     
I still love you",False,2022-09-14 02:27:14+00:00,"I think that if you do the #CRIME, then you do the #TIME!

 I also believe that if you do the TIME, you're #EXONERATED from the CRIME!!! #LAW #JUDGE #courttv @CivilRights @JusticeOIG @DOJ #DEPARTMENTOFJUSTICE","['CRIME', 'TIME']",Twitter Web App
AJ Blackston - Financial IT Solutions Consultant,"Washington, DC","News: #Arbitration #Banking #CyberSecurity #Education 
#LegalIssues #ManagementConsulting #Medicine #PopCulture #USGovernment #USMilitary #WhiteCollarCrime",False,2022-09-14 02:27:09+00:00,Oklahoma County government catches recent fraud attempt to purchase drones https://t.co/8Ed1BHcQKx #WhiteCollarCrime #Fraud #Ponzi #InsiderTrading #Embezzlement #Crime #Fraud #Scams #APT #TechNews #AI #Malware #Hackers Please Retweet,,Microsoft Power Platform
Video Forensics,,"REDACTED

Like & RT ≠ Endorsement",False,2022-09-14 02:25:05+00:00,#UPDATE: Reports say a circus event was happening at #WashingtonPark when shots were fired. #ChicagoPD say this is an active scene with multiple victims in serious to critical condition #police #crime #guncrime #shooting #Chicago #BreakingNews #BREAKING https://t.co/b87qm5XFEL,"['UPDATE', 'WashingtonPark', 'ChicagoPD']",Twitter Web App
Wisconsin Right Now,Wisconsin,"Wisconsin and Milwaukee area breaking news, political and police news, and common sense opinion you won't see elsewhere. jim.wirightnow@gmail.com",False,2022-09-14 02:23:00+00:00,Even the son of a murdered #Burlington cop did not know the killer was granted parole until Wisconsin Right Now told him. #crime #wisconsin #election2022 https://t.co/DwCQ7xw12k,['Burlington'],Twitter Web App
unquestionably criminal,,Unquestionably Criminal tells the stories of victims of crime. Follow along as we uncover the cases that haunt us. @UQCriminal https://t.co/rHU9E0oCP6,False,2022-09-14 02:21:07+00:00,Kids Fishing Discover the Skull of a Mutilated Murder Victim #truecrime #crime #murder #killer #death https://t.co/1oED0gxZIR,"['truecrime', 'crime', 'murder', 'killer', 'death']",Twitter Web App
Rupali Dixit Author,,Author of #Romance & #fantasy novels.,False,2022-09-14 02:20:00+00:00,An incredibly well written book!! https://t.co/TkSCFX9Ny0 @AdrianLavelle #Thriller #Crime,"['Thriller', 'Crime']",SocialChamp IO 
Pawa True Crime,United States of America,"Welcome to your one-stop channel to solved and unsolved stories about crime, murder, and more.",False,2022-09-14 02:16:44+00:00,Woman killed in vehicle crash in Yazoo County https://t.co/snX8bxQNLi #truecrime #truecrimecommunity #truecrimepodcast #crime #murder #podcast https://t.co/527c7a7JLT,"['truecrime', 'truecrimecommunity']",SocialRabbit Plugin
Joanne,"Princeton, NJ","MBA, single parent, and former analyst who seeks truth and justice in this crazy world!",False,2022-09-14 02:13:06+00:00,@stillgray @BrandonStraka Agree #Democrats really picked a winner here! @POTUS tauting his great #inflation plan while #Americans are suffering losing in the #StockMarket #energy #foodprices #housing #crime. Everything this guy touches he destroys. #JoeBama is a failure,"['Democrats', 'inflation']",Twitter for iPad
BookKnocks,United States,"All about #Books #Authors and #Quotes
Visit to start your promotion today https://t.co/LLP8Ag4E00",False,2022-09-14 02:10:43+00:00,"One of the top mystery thrillers in the market, don�t miss out. #Mystery #Romance #Crime #Thriller @shellyFrome https://t.co/KULhfhkfB9 https://t.co/0gL5lIdpZh","['Mystery', 'Romance', 'Crime', 'Thriller']",SocialPilot.co
